a,b,similarity,n_a,n_b,risk
ใ,ไ,0.960391002584098,100,100,0.0
โ,ใ,0.9527382548911607,100,100,0.0
โ,ไ,0.9412774786638203,100,100,0.0
า,ๆ,0.926931549671549,100,100,0.0
ี,ื,0.9248337013119267,100,58,0.3884301545510092
า,ๅ,0.9042403683242151,100,100,0.0
ค,ด,0.9017640021806866,100,100,0.0
ึ,ื,0.8981090559367394,14,58,0.7723737881055959
ค,ต,0.8951654131926028,100,100,0.0
ั,ิ,0.8893978280555528,100,47,0.471380848869443
ก,ถ,0.8877177268177171,100,100,0.0
ฐ,ๆ,0.8813985750985108,100,100,0.0
ั,๊,0.8791453234707386,100,49,0.44836411497007667
ฐ,า,0.8766663711211659,100,100,0.0
ฤ,ๅ,0.874118461666997,13,100,0.7604830616502875
ี,ึ,0.868538766285802,100,14,0.7469433390057897
ฐ,ธ,0.868075437883442,100,100,0.0
ไ,ๅ,0.85969938456529,100,100,0.0
ิ,๊,0.8582740829452777,47,49,0.4548852639609972
็,๘,0.8577497992178622,100,27,0.6261573534290394
โ,ๅ,0.8524594874425576,100,100,0.0
ผ,ๅ,0.8380559815029452,100,100,0.0
ฤ,า,0.8362359485528288,13,100,0.727525275240961
ธ,ๆ,0.8343189354171529,100,100,0.0
ผ,า,0.8342877109422913,100,100,0.0
