true,pred,true_idx,pred_idx,count,rate,n_true_raw,n_pred_raw,tail→head
า,ๅ,43,55,7,0.35,100,100,False
๘,็,70,57,4,0.8,85,100,False
ื,ึ,47,46,3,0.25,92,83,False
ซ,ช,8,7,3,0.15,100,100,False
ม,ฝ,28,24,3,0.15,100,87,False
ๅ,า,55,43,3,0.15,100,100,False
ึ,ี,46,45,2,0.6666666666666666,83,100,False
ช,ซ,7,8,2,0.1,100,100,False
ด,ค,15,3,2,0.1,100,100,False
ด,๑,15,63,2,0.1,100,89,False
ต,ด,16,15,2,0.1,100,100,False
ท,ฃ,18,2,2,0.1,100,81,False
ล,๑,32,63,2,0.1,100,89,False
ห,พ,37,25,2,0.1,100,100,False
ั,ู,42,49,2,0.1,100,100,False
ี,ึ,45,46,2,0.1,100,83,False
ู,่,49,58,2,0.1,100,100,False
เ,่,50,58,2,0.1,100,100,False
้,ั,59,42,2,0.1,100,100,False
ฃ,ู,2,49,1,1.0,81,100,False
ฯ,ู,41,49,1,0.25,84,100,False
๓,๘,65,70,1,0.2,85,85,False
ื,ิ,47,44,1,0.08333333333333333,92,89,False
ื,ู,47,49,1,0.08333333333333333,92,100,False
ข,ท,1,18,1,0.05,100,100,False
ข,ู,1,49,1,0.05,100,100,False
ค,ก,3,0,1,0.05,100,100,False
ค,๗,3,69,1,0.05,100,81,False
ช,ป,7,22,1,0.05,100,100,False
ซ,ป,8,22,1,0.05,100,100,False
